k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,zero,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,5.097131245842936e-07,5.09713124689152e-07,1.614798194987097e-15,1,1,9.239876347535033e-15,0.9999999999999986,0,0,1.719277453985934e-17,1.869248867824751e-17,17,17,2,ran,
16,k,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,4.947988588225895e-07,4.94798858869805e-07,1.40204893313418e-15,1,1,7.514464800566215e-15,0.9999999999999984,0,0,1.61720695830399e-17,1.684802985385013e-17,17,17,2,ran,
16,zero,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,4.894604208521704e-07,4.894604206261031e-07,1.834401895434761e-15,1,1,1.473809728871222e-14,0.9999999999999974,0,0,2.021927549584809e-17,2.055814863594301e-17,14,14,2,ran,
16,k,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,5.083815963440754e-07,5.083815964300117e-07,1.778369520010082e-15,1,1,1.072926532592413e-14,0.9999999999999978,0,0,2.081093360043258e-17,2.146097665073983e-17,14,14,2,ran,
16,zero,64,8,1,3,4225,81,0.01398164033889771,12,12,1,0,0,0,9.772842329515004e-07,9.772842331369746e-07,2.127183044575323e-15,1,1,1.368103148527361e-14,0.9999999999999981,0,0,1.937515058413026e-17,1.938933249465778e-17,13,13,2,ran,
16,k,64,8,1,3,4225,81,0.01398164033889771,13,13,1,0,0,0,4.164468184252046e-07,4.164468183176752e-07,1.23650500416896e-15,1,1,1.005680457249117e-14,0.9999999999999983,0,0,2.187396550488854e-17,2.06147945565697e-17,14,14,2,ran,
16,zero,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.365977899925828e-07,7.365977900536857e-07,1.86700797780066e-15,1,1,1.428223491363793e-14,0.9999999999999978,0,0,2.030173376683717e-17,2.050395588607742e-17,13,13,2,ran,
16,k,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.947996240533492e-07,7.947996240592351e-07,1.337571357250457e-15,1,1,9.802383189585758e-15,0.9999999999999983,0,0,2.021808580078109e-17,2.01720761280238e-17,13,13,2,ran,
16,zero,64,8,2,1,4225,81,0.007647335529327393,15,15,1,0,0,0,9.316734480906385e-07,9.316734483733433e-07,1.803394926657349e-15,1,1,9.29395632674415e-15,0.9999999999999987,0,0,1.719277453985934e-17,1.869248867824751e-17,16,16,2,ran,
16,k,64,8,2,1,4225,81,0.007647335529327393,15,15,1,0,0,0,7.720070764234115e-07,7.720070760726065e-07,1.23392839192775e-15,1,1,7.710842009456616e-15,0.9999999999999982,0,0,1.61720695830399e-17,1.684802985385013e-17,16,16,2,ran,
16,zero,64,8,2,2,4225,81,0.0101965069770813,12,12,1,0,0,0,5.613494862697467e-07,5.613494861745756e-07,1.590515703500784e-15,1,1,1.46106915424927e-14,0.9999999999999972,0,0,2.021927549584809e-17,2.055814863594301e-17,13,13,2,ran,
16,k,64,8,2,2,4225,81,0.0101965069770813,12,12,1,0,0,0,5.679499989230259e-07,5.679499988965894e-07,1.793567547568789e-15,1,1,1.080076625826192e-14,0.9999999999999976,0,0,2.081093360043258e-17,2.146097665073983e-17,13,13,2,ran,
16,zero,64,8,2,3,4225,81,0.01398164033889771,12,12,1,0,0,0,4.055297543241526e-07,4.055297544461202e-07,1.597545467302429e-15,1,1,1.358662745119005e-14,0.9999999999999981,0,0,1.937515058413026e-17,1.938933249465778e-17,13,13,2,ran,
16,k,64,8,2,3,4225,81,0.01398164033889771,12,12,1,0,0,0,4.629216419541337e-07,4.62921641911725e-07,1.466373975034929e-15,1,1,1.008227690763609e-14,0.999999999999998,0,0,2.187396550488854e-17,2.06147945565697e-17,13,13,2,ran,
