k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,zero,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,5.097131246154519e-07,5.097131245935297e-07,2.18978355611042e-15,36,18,18,1,1,0,2.18978355611042e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,2,1.414213562373095,81,4225,1.671655435130384e-17,1.741713455783543e-17,17,17,2,ran,
16,k,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,4.947988588406655e-07,4.947988589831223e-07,1.730056810133621e-15,36,18,18,1,1,0,1.730056810133621e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,2,1.414213562373095,81,4225,1.493841806520964e-17,1.550907266115684e-17,17,17,2,ran,
16,zero,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,4.894604208766773e-07,4.894604208535715e-07,2.050822125712009e-15,30,15,15,1,1,0,2.108950324253802e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,3,1.414213562373095,81,4225,2.01820912912109e-17,2.044394797564072e-17,14,14,2,ran,
16,k,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,5.083815964284876e-07,5.083815964369229e-07,1.759125505669758e-15,30,15,15,1,1,0,1.908858845861752e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,3,1.414213562373095,81,4225,2.058529928081863e-17,2.071036313262601e-17,14,14,2,ran,
16,zero,64,8,1,3,4225,81,0.01398164033889771,12,12,1,0,0,0,9.772842330151822e-07,9.772842327877679e-07,1.93529780445954e-15,28,14,14,1,1,0,2.118344919880314e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,4,1.414213562373095,81,4225,1.949114524646631e-17,1.952691778884912e-17,13,13,2,ran,
16,k,64,8,1,3,4225,81,0.01398164033889771,13,13,1,0,0,0,4.164468183887902e-07,4.164468183308774e-07,1.308265318248886e-15,30,15,15,1,1,0,1.446380508597218e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,4,1.414213562373095,81,4225,2.124527962194782e-17,1.976685209950604e-17,14,14,2,ran,
16,zero,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.365977900615755e-07,7.365977900415907e-07,1.572223428420793e-15,28,14,14,1,1,0,1.572223428420793e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,5,1.414213562373095,81,4225,1.994786006724886e-17,2.044617455961996e-17,13,13,2,ran,
16,k,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.947996240284243e-07,7.947996240712902e-07,1.462986013916425e-15,28,14,14,1,1,0,1.673122806754851e-15,NaN,NaN,NaN,NaN,0,0,0,0,1,5,1.414213562373095,81,4225,2.002830510033376e-17,1.98004576711914e-17,13,13,2,ran,
16,zero,64,8,2,1,4225,81,0.007647335529327393,15,15,12,0,0,0,9.316734487541377e-07,9.316728224294444e-07,1.594971687566686e-07,34,17,17,14.88235294117647,15,0,8.5443095202767e-11,NaN,NaN,NaN,NaN,0.05031431635187764,0.05031431635187764,0,0,1,2,1.060660171779821,81,4225,1.790637803301883e-17,1.827433233538881e-17,16,16,13,ran,
16,k,64,8,2,1,4225,81,0.007647335529327393,15,15,11,0,0,0,7.720070762649586e-07,7.720064940742484e-07,6.120253135979055e-07,34,17,17,14.38235294117647,15,0,9.888934696177883e-11,NaN,NaN,NaN,NaN,0.04995135164733797,0.04995135164733799,0,0,1,2,1.060660171779821,81,4225,1.552114264261227e-17,1.63866536689317e-17,16,16,12,ran,
16,zero,64,8,2,2,4225,81,0.0101965069770813,12,12,13,0,0,0,5.613494863163859e-07,5.613496658387381e-07,1.620360903393223e-07,28,14,14,16.46428571428572,17,0,7.056197443642764e-11,NaN,NaN,NaN,NaN,0.02811903306850701,0.02811903306850701,0,0,1,3,1.237436867076458,81,4225,2.13169810548121e-17,2.162644132145349e-17,13,13,14,ran,
16,k,64,8,2,2,4225,81,0.0101965069770813,12,12,12,0,0,0,5.67949998954484e-07,5.679499984540391e-07,4.509255488522519e-07,28,14,14,15.96428571428571,16,0,7.680431150464413e-11,NaN,NaN,NaN,NaN,0.02778314439127676,0.02778314439127677,0,0,1,3,1.237436867076458,81,4225,2.112846747411089e-17,2.124345295966317e-17,13,13,13,ran,
