k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,zero,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,5.097131246154519e-07,5.09713124209729e-07,1.151176969300595e-15,36,18,18,1,1,0,1.151176969300595e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,81,4225,NaN,NaN,17,17,2,ran,
16,k,64,8,1,1,4225,81,0.007647335529327393,16,16,1,0,0,0,4.947988588406655e-07,4.94798858858991e-07,7.648757328911871e-16,36,18,18,1,1,0,9.196419358130035e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,81,4225,NaN,NaN,17,17,2,ran,
16,zero,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,4.894604208766773e-07,4.894604210529389e-07,1.038261075060869e-15,30,15,15,1,1,0,1.500196204042917e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.414213562373095,81,4225,NaN,NaN,14,14,2,ran,
16,k,64,8,1,2,4225,81,0.0101965069770813,13,13,1,0,0,0,5.083815964284876e-07,5.083815963386317e-07,1.13278837658496e-15,30,15,15,1,1,0,1.13278837658496e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.414213562373095,81,4225,NaN,NaN,14,14,2,ran,
16,zero,64,8,1,3,4225,81,0.01398164033889771,12,12,1,0,0,0,9.772842330151822e-07,9.772842330292345e-07,1.224784953387654e-15,28,14,14,1,1,0,1.234141765711934e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,13,2,ran,
16,k,64,8,1,3,4225,81,0.01398164033889771,13,13,1,0,0,0,4.164468183887902e-07,4.164468184034304e-07,1.162800557270307e-15,30,15,15,1,1,0,1.303764215859057e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,14,14,2,ran,
16,zero,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.365977900615755e-07,7.365977899797586e-07,2.198417514739191e-15,28,14,14,1,1,0,2.198417514739191e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,13,13,2,ran,
16,k,64,8,1,4,4225,81,0.01633769273757935,12,12,1,0,0,0,7.947996240284243e-07,7.947996242184707e-07,1.008170259034261e-15,28,14,14,1,1,0,1.310690064635666e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,13,13,2,ran,
16,zero,64,8,2,1,4225,81,0.007647335529327393,15,15,12,0,0,0,9.316734487541377e-07,9.789787522995039e-07,1.594971687566525e-07,34,17,17,11.58823529411765,12,0,9.780550714384547e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.060660171779821,81,4225,NaN,NaN,16,16,13,ran,
16,k,64,8,2,1,4225,81,0.007647335529327393,15,15,11,0,0,0,7.720070762649586e-07,7.775738590034648e-07,6.120253135979284e-07,34,17,17,10.88235294117647,11,0,8.399775416268618e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.060660171779821,81,4225,NaN,NaN,16,16,12,ran,
16,zero,64,8,2,2,4225,81,0.0101965069770813,12,12,13,0,0,0,5.613494863163859e-07,5.755920817576254e-07,1.620360903393421e-07,28,14,14,12.42857142857143,13,0,9.273505097754365e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,13,14,ran,
16,k,64,8,2,2,4225,81,0.0101965069770813,12,12,12,0,0,0,5.67949998954484e-07,5.885429129134167e-07,4.509255488522438e-07,28,14,14,11.75,12,0,8.941813901484008e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,13,13,ran,
16,zero,64,8,2,3,4225,81,0.01398164033889771,12,12,6,0,0,0,4.055297543172781e-07,4.375745268095922e-07,3.233744061941568e-08,28,14,14,5.857142857142857,6,0,9.928586830025934e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,13,7,ran,
16,k,64,8,2,3,4225,81,0.01398164033889771,12,12,6,0,0,0,4.629216418333385e-07,4.800398272138792e-07,1.797965507741264e-08,28,14,14,5.714285714285714,6,0,8.154587369011699e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,13,7,ran,
16,zero,64,8,2,4,4225,81,0.01633769273757935,11,11,6,0,0,0,9.193588836896086e-07,9.194653661619014e-07,3.249532894271704e-08,26,13,13,5.846153846153846,6,0,9.98088302751279e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,12,7,ran,
16,k,64,8,2,4,4225,81,0.01633769273757935,12,12,6,0,0,0,4.174350316595006e-07,4.32252720145521e-07,1.830960833400534e-08,28,14,14,5.75,6,0,8.184874020065597e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,13,13,7,ran,
16,zero,64,8,4,1,4225,81,0.007647335529327393,16,16,20,0,0,0,5.042184485995844e-07,6.1421297556241e-07,3.420277069770334e-07,36,18,18,19.19444444444444,20,0,9.797719228660134e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.060660171779821,75,3953,NaN,NaN,17,17,21,ran,
16,k,64,8,4,1,4225,81,0.007647335529327393,15,15,18,0,0,0,8.84376981099624e-07,9.516270035916122e-07,6.121764633129083e-07,34,17,17,17.70588235294118,18,0,9.540878950915242e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.060660171779821,75,3953,NaN,NaN,16,16,19,ran,
16,zero,64,8,4,2,4225,81,0.0101965069770813,12,12,21,0,0,0,4.041872087365636e-07,4.106621395427043e-07,4.084833532976237e-07,28,14,14,20.03571428571428,21,0,9.238586300486505e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,13,22,ran,
16,k,64,8,4,2,4225,81,0.0101965069770813,12,12,19,0,0,0,4.283305012700674e-07,4.660654401417232e-07,5.719657876843489e-07,28,14,14,18.35714285714286,19,0,9.983865457504147e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,13,20,ran,
16,zero,64,8,4,3,4225,81,0.01398164033889771,11,11,15,0,0,0,6.708601533013298e-07,6.815154062040138e-07,7.619053984467839e-07,26,13,13,15.38461538461539,16,0,8.916629703785122e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,12,12,16,ran,
16,k,64,8,4,3,4225,81,0.01398164033889771,11,11,14,0,0,0,8.216595262278674e-07,8.247336013674588e-07,5.573475493978622e-07,26,13,13,14.34615384615385,15,0,9.173517110458617e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,12,12,15,ran,
16,zero,64,8,4,4,4225,81,0.01633769273757935,11,11,15,0,0,0,6.057643388173231e-07,6.170543522097982e-07,7.990233936670782e-07,26,13,13,15.38461538461539,16,0,7.990233936670782e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,12,16,ran,
16,k,64,8,4,4,4225,81,0.01633769273757935,11,11,14,0,0,0,7.431196558025567e-07,7.491985308179588e-07,5.685882575062871e-07,26,13,13,14.23076923076923,15,0,9.97669342799757e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,12,15,ran,
16,zero,64,8,8,1,4225,81,0.007647335529327393,16,16,27,0,0,0,5.087512668959428e-07,7.397701304648599e-07,6.86653173772936e-07,36,18,18,27.77777777777778,30,0,9.91712106492277e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.8838834764831844,69,3625,NaN,NaN,17,17,28,ran,
16,k,64,8,8,1,4225,81,0.007647335529327393,15,15,25,0,0,0,8.38670573043049e-07,8.591532570867308e-07,9.92117075494289e-07,34,17,17,25.02941176470588,26,0,9.92117075494289e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.8838834764831844,69,3625,NaN,NaN,16,16,26,ran,
16,zero,64,8,8,2,4225,81,0.0101965069770813,12,12,27,0,0,0,6.81300376298843e-07,6.735869379167341e-07,7.796653753127921e-07,28,14,14,27.17857142857143,28,0,9.863362653819063e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,79,4153,NaN,NaN,13,13,28,ran,
16,k,64,8,8,2,4225,81,0.0101965069770813,12,12,25,0,0,0,6.897504223583552e-07,6.898019885750056e-07,6.714355103030251e-07,28,14,14,24.64285714285714,26,0,9.483282294229723e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,79,4153,NaN,NaN,13,13,26,ran,
16,zero,64,8,8,3,4225,81,0.01398164033889771,12,12,25,0,0,0,3.286256763520886e-07,3.889263695139429e-07,7.621602472076357e-07,28,14,14,24.35714285714286,26,0,9.981623621353888e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,13,26,ran,
16,k,64,8,8,3,4225,81,0.01398164033889771,12,12,23,0,0,0,3.665917903391171e-07,3.763993384368928e-07,8.975507836821641e-07,28,14,14,22.42857142857143,24,0,9.507344982634938e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,13,24,ran,
16,zero,64,8,8,4,4225,81,0.01633769273757935,11,11,22,0,0,0,8.521433675790584e-07,8.546863140724057e-07,9.310881136590195e-07,26,13,13,21.73076923076923,23,0,9.805798962475321e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,12,23,ran,
16,k,64,8,8,4,4225,81,0.01633769273757935,11,12,20,0,0,0,9.901134841385314e-07,4.072842780683596e-07,8.516488971630524e-07,30,15,15,19.96666666666667,21,0,9.873297649281584e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,13,21,ran,
32,zero,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,8.760384023066884e-07,8.760384022801426e-07,2.013021577491955e-15,40,20,20,1,1,0,2.91796268073707e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,289,37249,NaN,NaN,19,19,2,ran,
32,k,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,5.655602433523383e-07,5.655602434143448e-07,1.297329615485692e-15,40,20,20,1,1,0,1.629155807618724e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,289,37249,NaN,NaN,19,19,2,ran,
32,zero,192,16,1,2,37249,289,0.08657389879226685,13,13,1,0,0,0,8.625012491361041e-07,8.625012490704377e-07,1.97881699140877e-15,30,15,15,1,1,0,2.331644757454484e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.414213562373095,289,37249,NaN,NaN,14,14,2,ran,
