k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
32,zero,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,8.76038402283319e-07,8.760384022831977e-07,6.935110594314096e-16,1,1,6.412976069122374e-15,0.9999999999999977,0,0,1.579834241415667e-17,1.613269046796771e-17,19,19,2,ran,
32,k,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,5.655602433964676e-07,5.65560243639747e-07,4.852972763686619e-16,1,1,4.628133378853301e-15,0.9999999999999976,0,0,1.799127127558778e-17,1.790736521844873e-17,19,19,2,ran,
32,zero,192,16,1,2,37249,289,0.08657389879226685,13,13,1,0,0,0,8.625012490127711e-07,8.625012490914258e-07,6.105654190033943e-16,1,1,1.053037081013519e-14,0.9999999999999974,0,0,2.349674359526573e-17,2.366623932559918e-17,14,14,2,ran,
32,k,192,16,1,2,37249,289,0.08657389879226685,13,13,1,0,0,0,8.021471160778388e-07,8.021471162013583e-07,5.58332907671883e-16,1,1,7.140743606536413e-15,0.9999999999999978,0,0,2.013469278064728e-17,2.079132831486652e-17,14,14,2,ran,
32,zero,192,16,1,3,37249,289,0.1167533993721008,13,13,1,0,0,0,5.780230727274976e-07,5.780230727494582e-07,4.736717064611379e-15,1,1,6.902542413268028e-14,0.9999999999999973,0,0,2.177953319954423e-17,2.185872139180128e-17,14,14,2,ran,
32,k,192,16,1,3,37249,289,0.1167533993721008,13,13,1,0,0,0,5.524238755280412e-07,5.524238757591662e-07,2.90058834019617e-15,1,1,4.747618457197652e-14,0.9999999999999976,0,0,2.093297173685878e-17,2.104853817960314e-17,14,14,2,ran,
32,zero,192,16,1,4,37249,289,0.1568549275398254,12,12,1,0,0,0,8.829593655924597e-07,8.829593655221417e-07,4.426849019557677e-15,1,1,6.975812834977765e-14,0.9999999999999973,0,0,1.993960344787891e-17,2.036139700497386e-17,13,13,2,ran,
32,k,192,16,1,4,37249,289,0.1568549275398254,12,12,1,0,0,0,9.981691106868122e-07,9.981691107474532e-07,3.628165120375997e-15,1,1,4.724371612829195e-14,0.9999999999999968,0,0,2.050363641388527e-17,2.023722057772672e-17,13,13,2,ran,
32,zero,192,16,2,1,37249,289,0.06631642580032349,18,18,1,0,0,0,9.687177847807612e-07,9.687177846906534e-07,6.660394742117773e-16,1,1,6.851738034943633e-15,0.9999999999999979,0,0,1.579834241415667e-17,1.613269046796771e-17,19,19,2,ran,
32,k,192,16,2,1,37249,289,0.06631642580032349,18,18,1,0,0,0,6.901534059733807e-07,6.901534059950744e-07,6.637273907901514e-16,1,1,5.188877057445566e-15,0.9999999999999973,0,0,1.799127127558778e-17,1.790736521844873e-17,19,19,2,ran,
32,zero,192,16,2,2,37249,289,0.08657389879226685,13,13,1,0,0,0,6.883895631350309e-07,6.883895630854936e-07,7.410991066790377e-16,1,1,1.091534645379989e-14,0.9999999999999976,0,0,2.349674359526573e-17,2.366623932559918e-17,14,14,2,ran,
