k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,zero,64,8,2,1,4225,81,0.00764733552932739,15,20,12,0,0,0,9.31673448754138e-07,8.15149922747934e-07,1.59497168756653e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.06066017177982,81,4225,NaN,NaN,16,21,13,ran,NaN
16,k,64,8,2,1,4225,81,0.00764733552932739,15,20,11,0,0,0,7.72007076264959e-07,5.22319646826921e-07,6.12025313597928e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.06066017177982,81,4225,NaN,NaN,16,21,12,ran,NaN
16,zero,64,8,2,2,4225,81,0.0101965069770813,12,18,13,0,0,0,5.61349486316386e-07,6.59882344805616e-07,1.62036090339342e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.23743686707646,81,4225,NaN,NaN,13,19,14,ran,NaN
16,k,64,8,2,2,4225,81,0.0101965069770813,12,17,12,0,0,0,5.67949998954484e-07,8.63053271548439e-07,4.50925548852244e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.23743686707646,81,4225,NaN,NaN,13,18,13,ran,NaN
16,zero,64,8,2,3,4225,81,0.0139816403388977,12,13,6,0,0,0,4.05529754317278e-07,7.44573450207997e-07,3.23374406194157e-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.41421356237309,81,4225,NaN,NaN,13,14,7,ran,NaN
16,k,64,8,2,3,4225,81,0.0139816403388977,12,13,6,0,0,0,4.62921641833338e-07,6.37378432743254e-07,1.79796550774126e-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.41421356237309,81,4225,NaN,NaN,13,14,7,ran,NaN
16,zero,64,8,2,4,4225,81,0.0163376927375793,11,13,6,0,0,0,9.19358883689609e-07,6.15544782273496e-07,3.2495328942717e-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.41421356237309,81,4225,NaN,NaN,12,14,7,ran,NaN
16,k,64,8,2,4,4225,81,0.0163376927375793,12,13,6,0,0,0,4.17435031659501e-07,5.78614834634306e-07,1.83096083340053e-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.41421356237309,81,4225,NaN,NaN,13,14,7,ran,NaN
16,zero,64,8,4,1,4225,81,0.00764733552932739,16,29,20,0,0,0,5.04218448599584e-07,5.0839705169315e-07,3.42027706977033e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.06066017177982,75,3953,NaN,NaN,17,30,21,ran,NaN
16,k,64,8,4,1,4225,81,0.00764733552932739,15,27,18,0,0,0,8.84376981099624e-07,7.30633325912238e-07,6.12176463312908e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.06066017177982,75,3953,NaN,NaN,16,28,19,ran,NaN
