k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
64,zero,512,32,2,1,263169,1089,0.4720836281776428,26,39,16,0,0,0,5.833187360733594e-07,8.72446500152331e-07,9.848562662448142e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.7954951288348659,441,103041,NaN,NaN,27,40,17,ran,
64,k,512,32,2,1,263169,1089,0.4720836281776428,24,36,16,0,0,0,7.075277023124279e-07,6.684556507717596e-07,4.143665838200452e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.7954951288348659,441,103041,NaN,NaN,25,37,17,ran,
64,zero,512,32,2,2,263169,1089,0.6070953011512756,14,25,17,0,0,0,4.599191971687908e-07,6.031320856717342e-07,5.199457353843746e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0.8396893026590252,529,124609,NaN,NaN,15,26,18,ran,
64,k,512,32,2,2,263169,1089,0.6070953011512756,13,24,16,0,0,0,8.69017356209868e-07,4.560326966849263e-07,5.659020967247042e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0.8396893026590252,529,124609,NaN,NaN,14,25,17,ran,
64,zero,512,32,2,3,263169,1089,0.8085742592811584,13,24,16,0,0,0,5.906474837128969e-07,6.029305307370587e-07,7.609446629617797e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,0.8838834764831844,625,148225,NaN,NaN,14,25,17,ran,
64,k,512,32,2,3,263169,1089,0.8085742592811584,13,22,16,0,0,0,5.710855422462471e-07,7.811162995259248e-07,4.327590318736056e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,0.8838834764831844,625,148225,NaN,NaN,14,23,17,ran,
64,zero,512,32,2,4,263169,1089,1.076520502567291,12,22,16,0,0,0,8.685576869019265e-07,8.225724088802142e-07,7.217883945983649e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.9280776503073436,729,173889,NaN,NaN,13,23,17,ran,
64,k,512,32,2,4,263169,1089,1.076520502567291,13,21,16,0,0,0,4.069591437036852e-07,8.995768811228979e-07,3.88418362555748e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.9280776503073436,729,173889,NaN,NaN,14,22,17,ran,
64,zero,512,32,2,5,263169,1089,1.410934031009674,12,22,16,0,0,0,9.493215846770307e-07,8.831602785128186e-07,7.134675976494177e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.9722718241315028,841,201601,NaN,NaN,13,23,17,ran,
64,k,512,32,2,5,263169,1089,1.410934031009674,13,21,16,0,0,0,4.451269333938448e-07,9.401314651451667e-07,3.847159238585378e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.9722718241315028,841,201601,NaN,NaN,14,22,17,ran,
64,zero,512,32,4,1,263169,1089,0.4720836281776428,25,62,37,0,0,0,7.389804259747943e-07,8.603536774549401e-07,7.522771978342573e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.5303300858899106,269,61889,NaN,NaN,26,63,38,ran,
