method,kappaPi,kappa,epsilonLabel,coarseType,beta,rho,nu,degree,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,lxzzNSubSide,lxzzNSubdomains,lxzzH,lxzzDeltaSteps,lxzzDelta,ndof,localDofEstimate,rawCoarseEstimate,lxzzLocalDofEstimate,estimateGB,estimateLuGB,estimateDirectGB,memoryMode,solverMode,coarseSolverMode,coarseDimension,rawCoarseDimension,coarseRatio,gmresIterations,flag,finalRelres,resvecLength,setupS,applyS,solveS,totalGroupS,status,notes
hu_li_native,32,100.530964914873,0,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,32,100.530964914873,0,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,32,100.530964914873,0,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,32,100.530964914873,0,spectral,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,9801,81,3.75777797459337,11.5587021792616,3.75777797459337,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,32,100.530964914873,0,spectral,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,9801,81,3.75777797459337,11.5587021792616,3.75777797459337,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,32,100.530964914873,0,spectral,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,9801,81,3.75777797459337,11.5587021792616,3.75777797459337,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,32,100.530964914873,k,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,32,100.530964914873,k,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,32,100.530964914873,k,economic,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,2000,81,2.5769798225348,10.3779040272031,2.5769798225348,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,32,100.530964914873,k,spectral,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,160,25921,0.00625,2,0.00625,410881,9801,9801,81,3.75777797459337,11.5587021792616,3.75777797459337,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
