method,kappaPi,kappa,epsilonLabel,coarseType,beta,rho,nu,degree,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,ndof,localDofEstimate,rawCoarseEstimate,estimateGB,estimateLuGB,estimateDirectGB,memoryMode,solverMode,coarseSolverMode,coarseDimension,rawCoarseDimension,coarseRatio,gmresIterations,flag,finalRelres,resvecLength,setupS,applyS,solveS,totalGroupS,status,notes
hu_li_native,16,50.2654824574367,0,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,16,50.2654824574367,0,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,16,50.2654824574367,0,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,16,50.2654824574367,k,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,16,50.2654824574367,k,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,16,50.2654824574367,k,spectral,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,3721,0.581032046219526,1.84378879249666,0.581032046219526,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,16,50.2654824574367,k,economic,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,686,0.397904297003998,1.66066104328113,0.397904297003998,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_dirichlet,16,50.2654824574367,k,economic,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,686,0.397904297003998,1.66066104328113,0.397904297003998,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
lxzz_impedance,16,50.2654824574367,k,economic,0.5,0.187781386116236,7,2,140,0.00714285714285714,7,49,0.142857142857143,5,0.0357142857142857,78961,3721,686,0.397904297003998,1.66066104328113,0.397904297003998,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
hu_li_native,32,100.530964914873,0,spectral,0.5,0.157904694436516,10,2,320,0.003125,10,100,0.1,8,0.025,410881,9801,9801,3.44603348451127,11.114121085108,3.44603348451127,direct,lu,lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by HL25_CROSS_RUN=0.
