k,degree,coarseType,variant,beta,rho,nu,fineHInv,localHInv,overlap,ndof,nSubdomains,supportSteps,localDofEstimate,rawCoarseEstimate,estimateGB,coarseDimension,rawCoarseDimension,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,setupS,solveS,totalS,status,notes
16,1,economic,dirichlet,0.6,0.2871745887492587,3,64,16,0.0625,4225,256,12,169,1536,0.1231197715796292,1536,1536,lu,64,121,112.890625,10,0,6.168143125159679e-07,11,3.4589053,0.4391933,4.9918108,ran,
16,1,economic,impedance,0.6,0.2871745887492587,3,64,16,0.0625,4225,256,12,169,1536,0.1231197715796292,1536,1536,lu,81,169,156.25,6,0,9.226100933268585e-07,7,3.8537176,0.2774162,4.9392407,ran,
16,1,spectral,dirichlet,0.6,0.2871745887492587,3,64,16,0.0625,4225,256,12,169,12288,0.1808413616240543,640,640,lu,64,121,112.890625,12,0,8.39282045166731e-07,13,4.113898900000001,0.3142427,5.2035569,ran,Estimated raw coarse 12288; actual 640.
16,1,spectral,impedance,0.6,0.2871745887492587,3,64,16,0.0625,4225,256,12,169,12288,0.1808413616240543,640,640,lu,81,169,156.25,9,0,5.556241604217738e-07,10,4.571378,0.2739221,5.6448514,ran,Estimated raw coarse 12288; actual 640.
32,1,economic,dirichlet,0.6,0.25,4,192,32,0.03125,37249,1024,18,361,8192,1.15917295296765,8192,8192,lu,144,289,278.47265625,9,0,3.668943566317523e-07,10,17.502761,4.0257201,59.4981069,ran,
32,1,economic,impedance,0.6,0.25,4,192,32,0.03125,37249,1024,18,361,8192,1.15917295296765,8192,8192,lu,169,361,346.890625,5,0,8.426997661138241e-07,6,21.2248258,2.81964,60.8661248,ran,
32,1,spectral,dirichlet,0.6,0.25,4,192,32,0.03125,37249,1024,18,361,73728,1.560855875362622,2416,2416,lu,144,289,278.47265625,18,0,4.300564125506755e-07,19,25.49355,5.94276,70.6518322,ran,Estimated raw coarse 73728; actual 2416.
32,1,spectral,impedance,0.6,0.25,4,192,32,0.03125,37249,1024,18,361,73728,1.560855875362622,2416,2416,lu,169,361,346.890625,12,0,8.321084762704789e-07,13,28.5919242,4.5541818,71.83716769999999,ran,Estimated raw coarse 73728; actual 2416.
64,1,economic,dirichlet,0.6,0.217637640824031,5,512,64,0.015625,263169,4096,24,625,40960,8.58948168647682,40960,40960,lu,256,529,518.9853515625,8,0,5.432188273320436e-07,9,165.9929813,85.2222067,252.1626689,ran,
64,1,economic,impedance,0.6,0.217637640824031,5,512,64,0.015625,263169,4096,24,625,40960,8.58948168647682,40960,40960,lu,289,625,612.5625,5,0,4.573040748474189e-07,6,74.11296129999999,59.4436791,134.3409195,ran,
64,1,spectral,dirichlet,0.6,0.217637640824031,5,512,64,0.015625,263169,4096,24,625,393216,11.00029359946554,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_coarse_cap,Above medium coarse cap 300000.
64,1,spectral,impedance,0.6,0.217637640824031,5,512,64,0.015625,263169,4096,24,625,393216,11.00029359946554,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_coarse_cap,Above medium coarse cap 300000.
