method,kappaPi,kappa,epsilonLabel,coarseType,beta,rho,nu,degree,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,lxzzNSubSide,lxzzNSubdomains,lxzzH,lxzzDeltaSteps,lxzzDelta,ndof,localDofEstimate,rawCoarseEstimate,lxzzLocalDofEstimate,estimateGB,estimateLuGB,estimateDirectGB,memoryMode,solverMode,coarseSolverMode,coarseDimension,rawCoarseDimension,coarseRatio,gmresIterations,flag,finalRelres,resvecLength,setupS,applyS,solveS,totalGroupS,status,notes
hu_li_native,8,25.1327412287183,0,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,5,0,7.43592828108487e-08,6,30.3929288,0.1885442,0.3720963,32.7666464,ran,
lxzz_dirichlet,8,25.1327412287183,0,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,17,0,5.03316166366417e-07,18,36.3941077,23.4122507,23.5855359,62.4604293,ran,
lxzz_impedance,8,25.1327412287183,0,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,18,0,5.4502481760501e-07,19,41.5900863,24.6776755,24.8370658,98.5634603,ran,
hu_li_native,8,25.1327412287183,0,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,6,0,1.35235780667961e-07,7,5.188407,0.2698801,0.3555202,6.4234125,ran,
lxzz_dirichlet,8,25.1327412287183,0,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,16,0,8.05247733367531e-07,17,11.2640858,22.9778556,23.1404357,35.6835398,ran,
lxzz_impedance,8,25.1327412287183,0,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,18,0,4.94559236147244e-07,19,16.4921473,24.3730513,24.5267284,71.5732942,ran,
hu_li_native,8,25.1327412287183,k,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,5,0,6.40699919940031e-08,6,1.8771969,0.1403502,0.2184151,2.9101733,ran,
lxzz_dirichlet,8,25.1327412287183,k,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,17,0,5.74115602836932e-07,18,7.9204702,23.1612829,23.3052153,32.3054869,ran,
lxzz_impedance,8,25.1327412287183,k,economic,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,392,169,0.151698713236562,0.668851274155799,0.151698713236562,direct,lu,lu,392,392,0.286340394448503,18,0,5.8206303428956e-07,19,14.6093222,25.3371072,25.500327,70.5784023,ran,
hu_li_native,8,25.1327412287183,k,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,6,0,1.16583173407979e-07,7,4.7778245,0.2331902,0.3097308,5.8953128,ran,
lxzz_dirichlet,8,25.1327412287183,k,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,16,0,8.84766004904176e-07,17,10.823882,22.3437418,22.4841206,34.4746039,ran,
lxzz_impedance,8,25.1327412287183,k,spectral,0.6,0.262374746749356,4,2,84,0.0119047619047619,7,49,0.142857142857143,3,0.0357142857142857,28,841,0.0357142857142857,3,0.0357142857142857,28561,1369,1369,169,0.17603831971722,0.693190880636456,0.17603831971722,direct,lu,lu,1107,1107,0.808619430241052,18,0,4.77926116398321e-07,19,16.0426996,25.0708804,25.233635,71.027751,ran,
