tableId,degree,epsilonLabel,beta,kappaPi,kappa,coarseType,rho,nu,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,ndof,localDofEstimate,rawCoarseEstimate,estimateGB,paperIterations,paperRatio,gmresIterations,coarseDimension,rawCoarseDimension,coarseRatio,iterationDifference,ratioDifference,flag,finalRelres,resvecLength,localDofMin,localDofMax,localDofMean,coarseSetupS,preconditionerApplyS,totalS,status,notes
1,1,k,0.7,30,94.2477796076938,spectral,0.000870722470868708,NaN,960,0.00104166666666667,24,576,0.0416666666666667,10,0.0104166666666667,923521,3721,138240,322.277252048432,5,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 322.28 GB exceeds hard limit 300.00 GB.
1,1,k,0.6,30,94.2477796076938,spectral,0.000552653137299744,NaN,960,0.00104166666666667,15,225,0.0666666666666667,16,0.0166666666666667,923521,9409,86400,154.691725027241,4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=923521.
1,1,k,0.5,30,94.2477796076938,spectral,0.000350772491104462,NaN,920,0.00108695652173913,10,100,0.1,23,0.025,848241,19600,55600,92.4542264648821,4,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=848241.
1,1,k,0.7,40,125.663706143592,spectral,0.000557474120161113,NaN,1508,0.000663129973474801,29,841,0.0344827586206897,13,0.00862068965517241,2277081,6241,262392,1126.0006221129,4,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1126.00 GB exceeds hard limit 300.00 GB.
1,1,k,0.6,40,125.663706143592,spectral,0.000343798299595541,NaN,1440,0.000694444444444444,18,324,0.0555555555555556,20,0.0138888888888889,2076481,14641,155520,466.475561320004,3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 466.48 GB exceeds hard limit 300.00 GB.
1,1,k,0.5,40,125.663706143592,spectral,0.000212022884166579,NaN,1452,0.00068870523415978,11,121,0.0909090909090909,33,0.0227272727272727,2111209,39601,95832,270.577548490019,3,0.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,requires_permission_gt_200gb,Estimate 270.58 GB requires explicit permission.
1,1,k,0.7,50,157.07963267949,spectral,0.000394470191206417,NaN,2040,0.000490196078431373,34,1156,0.0294117647058824,15,0.00735294117647059,4165681,8281,416160,2772.58522263146,3,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 2772.59 GB exceeds hard limit 300.00 GB.
1,1,k,0.6,50,157.07963267949,spectral,0.000237904251322265,NaN,2016,0.000496031746031746,21,441,0.0476190476190476,24,0.0119047619047619,4068289,21025,254016,1185.10236144703,3,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1185.10 GB exceeds hard limit 300.00 GB.
1,1,k,0.5,50,157.07963267949,spectral,0.000143479619142098,NaN,1976,0.000506072874493927,13,169,0.0769230769230769,38,0.0192307692307692,3908529,52441,154128,619.366183082961,2,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 619.37 GB exceeds hard limit 300.00 GB.
1,1,k,0.7,60,188.495559215388,spectral,0.000297360486916828,NaN,2652,0.000377073906485671,39,1521,0.0256410256410256,17,0.00641025641025641,7038409,10609,620568,6077.15311554704,3,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 6077.15 GB exceeds hard limit 300.00 GB.
1,1,k,0.6,60,188.495559215388,spectral,0.00017609748234168,NaN,2668,0.000374812593703148,23,529,0.0434782608695652,29,0.0108695652173913,7123561,30625,368184,2445.15128105119,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 2445.15 GB exceeds hard limit 300.00 GB.
1,1,k,0.5,60,188.495559215388,spectral,0.000104285285542164,NaN,2632,0.000379939209726444,14,196,0.0714285714285714,47,0.0178571428571429,6932689,80089,221088,1254.80697653114,2,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1254.81 GB exceeds hard limit 300.00 GB.
