tableId,variant,coarseType,kappa,parameter,paperValue,fine_inv,coarse_inv,subdomain_inv,fine_h,coarse_h,subdomain_h,delta,m,ndof,nt,ncoarse,ncoarseElem,nsub,localDofEst,patchDofEst,estimateGB,localDofMin,localDofMax,localDofMean,gmresIter,flag,finalRelres,resvecLength,lodSetupS,localSetupS,applyS,totalS,status,notes
5.1,dirichlet,lod,16,k=16,9,64,16,8,0.015625,0.0625,0.125,0.0625,3,4225,8192,289,512,289,81,841,0.1515334378392311,12,47,35.08304498269896,15,0,9.367882553186571e-07,16,3.8668877,0.3006625,0.245043,4.6458003,ran,
5.2,impedance,lod,16,k=16,7,64,16,4,0.015625,0.0625,0.25,0.125,3,4225,8192,289,512,81,289,841,0.1771379759128496,45,217,174.8271604938272,8,0,5.380772294418131e-07,9,2.4253209,0.3814574,0.1293074,3.0698841,ran,
5.1,dirichlet,lod,32,k=32,8,192,32,16,0.005208333333333333,0.03125,0.0625,0.03125,4,37249,73728,1089,2048,1089,169,3025,1.531165736834084,23,105,87.26813590449954,14,0,5.591368563657103e-07,15,83.0106567,0.9940238,4.3233945,92.4639616,ran,
5.2,impedance,lod,32,k=32,7,192,32,8,0.005208333333333333,0.03125,0.125,0.0625,4,37249,73728,1089,2048,289,625,3025,1.718166009241204,91,469,418.2179930795848,8,0,3.955849882248524e-07,9,82.2662794,3.194566,3.2451691,90.6010689,ran,
5.1,dirichlet,lod,64,k=64,8,512,64,32,0.001953125,0.015625,0.03125,0.015625,5,263169,524288,4225,8192,4225,289,7921,12.72251730829604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=263169, coarse elements=8192."
5.2,impedance,lod,64,k=64,7,512,64,16,0.001953125,0.015625,0.0625,0.03125,5,263169,524288,4225,8192,1089,1089,7921,13.89332395784505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=263169, coarse elements=8192."
5.1,dirichlet,lod,128,k=128,8,1536,128,64,0.0006510416666666666,0.0078125,0.015625,0.0078125,6,2362369,4718592,16641,32768,16641,625,24649,137.6645719527657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=2362369, coarse elements=32768."
5.2,impedance,lod,128,k=128,7,1536,128,32,0.0006510416666666666,0.0078125,0.03125,0.015625,6,2362369,4718592,16641,32768,4225,2401,24649,147.9053272540551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=2362369, coarse elements=32768."
5.1,dirichlet,lod,256,k=256,8,4096,256,128,0.000244140625,0.00390625,0.0078125,0.00390625,7,16785409,33554432,66049,131072,66049,1089,58081,1166.537987307248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_limit,Estimate 1166.54 GB exceeds 300.00 GB permission threshold.
5.2,impedance,lod,256,k=256,7,4096,256,64,0.000244140625,0.00390625,0.015625,0.0078125,7,16785409,33554432,66049,131072,16641,4225,58081,1238.262653880999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_limit,Estimate 1238.26 GB exceeds 300.00 GB permission threshold.
5.1,dirichlet,lod,500,k=500,8,11500,500,250,8.695652173913044e-05,0.002,0.004,0.002,8,132273001,264500000,251001,500000,251001,2209,153664,10951.96483803818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_limit,Estimate 10951.96 GB exceeds 300.00 GB permission threshold.
5.2,impedance,lod,500,k=500,7,11500,500,125,8.695652173913044e-05,0.002,0.008,0.004,8,132273001,264500000,251001,500000,63001,8649,153664,11525.17576241762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_limit,Estimate 11525.18 GB exceeds 300.00 GB permission threshold.
5.3,dirichlet,lod,80,h=2^-10,10,1024,64,32,0.0009765625,0.015625,0.03125,0.0126953125,2,1050625,2097152,4225,8192,4225,1089,6561,35.87537184626947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=1050625, coarse elements=8192."
5.4,impedance,lod,80,h=2^-10,9,1024,64,16,0.0009765625,0.015625,0.0625,0.025390625,2,1050625,2097152,4225,8192,1089,4225,6561,41.23941009184968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,"Below memory gate but above interactive cap: N=1050625, coarse elements=8192."
